avg_established_duration,connections_per_second,failure_rate,process_to_ip_diversity,destination_diversity_score,ip_entropy,label
14110.59893,0.041047297,0,8.714285714,0.074074074,3.367685131,0
14672.26417,0.041053588,0.004424779,8.571428571,0.079646018,3.369172293,0
15551.69483,0.036379019,0,8.714285714,0.08372093,3.427797393,0
18958.98238,0.032471627,0,8.714285714,0.087378641,3.444491532,0
15900.74988,0.036939314,0,8.571428571,0.091836735,3.405563432,0
16290.91057,0.038312615,0.005319149,8.428571429,0.095744681,3.392144546,0
16522.72047,0.035685646,0.005617978,8,0.101123596,3.41472441,0
17072.11128,0.03702897,0,7.857142857,0.105882353,3.396850294,0
17567.35644,0.034746503,0,8,0.113207547,3.441120517,0
18238.0937,0.035272133,0,7.857142857,0.119205298,3.426756108,0
18548.9354,0.032317213,0.007092199,7.857142857,0.127659574,3.481492727,0
19379.64512,0.033535048,0,7.714285714,0.135338346,3.44594931,0
20933.11674,0.03003413,0,7.857142857,0.136363636,3.505230231,0
21169.35546,0.031210353,0,8.833333333,0.138211382,3.471785987,0
27452.98777,0.026164646,0,8.666666667,0.138211382,3.525092532,0
23809.40146,0.029442149,0,8.5,0.149122807,3.507356407,0
24425.53296,0.032169118,0,8.333333333,0.161904762,3.475807075,0
26050.02476,0.028432169,0,8.333333333,0.161904762,3.544771109,0
28570.65179,0.029302796,0,7.833333333,0.183908046,3.492559287,0
30529.4539,0.025633471,0.011494253,8.333333333,0.195402299,3.572618279,0
33056.52133,0.026047565,0.014492754,7.333333333,0.231884058,3.563283183,0
37632.11642,0.02080292,0,7.5,0.280701754,3.610981207,0
42984.43445,0.020994002,0,7.166666667,0.326530612,3.568219963,0
47752.70865,0.017870439,0,7.333333333,0.333333333,3.600982189,0
53787.56036,0.019033675,0,6.666666667,0.384615385,3.471575043,0
58151.57785,0.014089595,0,7.166666667,0.435897436,3.704164187,0
14444.32929,0.047917435,0,12.2,0.061538462,3.309856353,0
16740.66078,0.042089249,0.01686747,6.4,0.038554217,3.372693175,0
16849.13134,0.04232089,0.012285012,7,0.039312039,3.348716401,0
17133.28742,0.042326939,0.017241379,6.4,0.039408867,3.373827712,0
17223.33394,0.042523565,0.020151134,7,0.040302267,3.351750393,0
17540.82072,0.042485802,0.020565553,7,0.041131105,3.337054147,0
17818.77634,0.042358079,0.018041237,6.4,0.041237113,3.363299269,0
17953.24022,0.042517388,0.013192612,7,0.042216359,3.343854676,0
18205.03121,0.042916957,0.016260163,7,0.043360434,3.316084992,0
18402.54366,0.042738013,0.013550136,6.4,0.043360434,3.348584508,0
18618.31441,0.042923572,0.016666667,7,0.044444444,3.323600687,0
18932.55686,0.042753364,0.013927577,6.4,0.044568245,3.349162829,0
19242.94237,0.042737124,0.014245014,7,0.045584046,3.323167195,0
19726.65607,0.042265741,0.014662757,7,0.046920821,3.330569767,0
20003.41924,0.042520492,0.015060241,7,0.048192771,3.297277206,0
82454.27034,0.009309443,0,6.076923077,0.116438356,3.800178632,0
20713.01785,0.04150604,0.018575851,6.3,0.049535604,3.329762417,0
21284.79222,0.040776446,0.015974441,6.2,0.051118211,3.305509005,0
21628.38755,0.041057292,0.026143791,6.777777778,0.052287582,3.277599949,0
22275.72599,0.04028307,0.016891892,6.666666667,0.054054054,3.274633814,0
22587.75502,0.040470331,0.023648649,6.1,0.054054054,3.306025465,0
23520.51778,0.0392685,0.018050542,5.9,0.054151625,3.278683623,0
23616.95699,0.038583357,0.026119403,5.8,0.055970149,3.31477074,0
24346.30304,0.03803066,0.023255814,5.8,0.058139535,3.30850976,0
24991.01344,0.037432351,0.02811245,5.8,0.060240964,3.340290512,0
25556.14509,0.03748243,0.025,5.8,0.0625,3.301247443,0
26346.73893,0.036930456,0.025974026,6.333333333,0.064935065,3.300688139,0
28652.38316,0.033121675,0.031088083,6.111111111,0.077720207,3.352206684,0
30324.5934,0.031420765,0.027173913,6.111111111,0.081521739,3.402798795,0
30869.84453,0.031560892,0.038043478,5.6,0.081521739,3.434704054,0
33657.73638,0.029250133,0.036363636,5.4,0.090909091,3.453393454,0
15246.58771,0.066129032,0,9.8,0.073170732,3.032095804,0
12851.94959,0.067943621,0,9.8,0.079787234,3.048715547,0
14013.67953,0.070887036,0,9.8,0.080213904,3.021552027,0
14387.07877,0.072035613,0,9.8,0.084269663,2.995591211,0
13607.6566,0.074300699,0.005882353,9.8,0.088235294,2.983551106,0
15041.92865,0.077819199,0,9.4,0.083832335,2.924355588,0
13845.09226,0.078278901,0,8.8,0.086092715,2.895443922,0
